能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
B,S,71.0,33.0,43.0,75.0,43.0,34.0,66.0,63.0,25.0,
B,B,59.0,,43.0,,47.0,55.0,42.0,31.0,,52.0
A,S,33.0,47.0,28.0,,55.0,37.0,64.0,19.0,,51.0
,D,54.0,56.0,49.0,51.0,26.0,29.0,63.0,46.0,,73.0
B,S,,48.0,48.0,48.0,21.0,27.0,60.0,,38.0,
A,－,,64.0,24.0,26.0,25.0,26.0,33.0,39.0,,62.0
A,－,,51.0,30.0,47.0,,51.0,51.0,61.0,15.0,
B,S,,,48.0,,29.0,38.0,52.0,,27.0,45.0
A,S,54.0,47.0,50.0,69.0,,49.0,53.0,59.0,55.0,
A,B,63.0,90.0,50.0,35.0,22.0,16.0,68.0,,58.0,37.0
C,D,46.0,40.0,,46.0,63.0,55.0,53.0,48.0,33.0,40.0
,S,,62.0,23.0,28.0,52.0,49.0,62.0,,28.0,60.0
B,D,,79.0,,,49.0,70.0,46.0,32.0,17.0,
B,－,60.0,,,52.0,34.0,19.0,46.0,19.0,21.0,57.0
B,B,78.0,31.0,55.0,24.0,42.0,64.0,53.0,,22.0,61.0
,D,41.0,,46.0,,,37.0,31.0,33.0,10.0,64.0
B,C,51.0,46.0,46.0,55.0,46.0,39.0,,55.0,,55.0
B,B,,41.0,,43.0,,38.0,56.0,46.0,19.0,
,－,60.0,48.0,52.0,39.0,52.0,39.0,56.0,74.0,19.0,76.0
,－,30.0,74.0,55.0,43.0,50.0,45.0,54.0,17.0,38.0,
B,B,,41.0,46.0,42.0,45.0,,,61.0,21.0,61.0
A,－,,70.0,43.0,41.0,34.0,74.0,67.0,55.0,53.0,44.0
B,－,40.0,,23.0,,,40.0,,65.0,14.0,56.0
B,A,33.0,34.0,57.0,39.0,40.0,36.0,56.0,,21.0,57.0
B,－,,47.0,,,41.0,63.0,,45.0,39.0,60.0
B,C,50.0,,40.0,47.0,,,41.0,65.0,25.0,
A,S,,,36.0,42.0,35.0,19.0,26.0,38.0,43.0,62.0
B,B,,52.0,53.0,46.0,23.0,,,45.0,55.0,61.0
B,C,,59.0,54.0,,39.0,55.0,44.0,33.0,36.0,49.0
B,C,74.0,,24.0,46.0,23.0,17.0,48.0,31.0,15.0,
B,D,,43.0,48.0,45.0,29.0,38.0,49.0,43.0,,55.0
B,A,,71.0,29.0,26.0,38.0,37.0,42.0,32.0,14.0,62.0
B,B,73.0,,46.0,30.0,26.0,,61.0,26.0,34.0,43.0
B,－,39.0,47.0,48.0,25.0,77.0,49.0,54.0,,16.0,63.0
B,A,,,43.0,44.0,41.0,64.0,28.0,,,
B,D,44.0,58.0,,43.0,42.0,,,9.0,21.0,60.0
B,D,57.0,,,46.0,48.0,,,24.0,38.0,47.0
,D,49.0,,59.0,28.0,72.0,,28.0,20.0,25.0,59.0
B,S,,47.0,46.0,32.0,,21.0,53.0,40.0,,54.0
B,D,34.0,29.0,22.0,26.0,,,68.0,47.0,25.0,57.0
B,D,27.0,59.0,57.0,28.0,,38.0,59.0,68.0,17.0,58.0
,－,40.0,58.0,44.0,45.0,26.0,69.0,44.0,,,54.0
C,－,69.0,61.0,40.0,,55.0,,60.0,23.0,23.0,60.0
B,－,,55.0,,41.0,,36.0,67.0,70.0,38.0,62.0
B,C,40.0,,32.0,38.0,43.0,41.0,,72.0,36.0,55.0
C,S,32.0,88.0,64.0,,45.0,,68.0,20.0,69.0,
B,B,42.0,,52.0,32.0,21.0,44.0,,,26.0,60.0
A,－,50.0,39.0,33.0,80.0,63.0,39.0,72.0,,34.0,42.0
C,－,48.0,58.0,47.0,44.0,28.0,42.0,,,,
B,D,50.0,44.0,,48.0,24.0,24.0,41.0,44.0,11.0,79.0
A,A,,45.0,,54.0,26.0,42.0,,73.0,,49.0
B,D,,65.0,51.0,27.0,31.0,19.0,,,,58.0
B,B,56.0,,47.0,40.0,39.0,24.0,22.0,74.0,31.0,54.0
A,A,49.0,76.0,60.0,42.0,33.0,59.0,,,15.0,66.0
B,A,,51.0,53.0,45.0,49.0,42.0,,52.0,21.0,62.0
B,S,,,50.0,47.0,39.0,43.0,,36.0,,78.0
A,D,27.0,,38.0,31.0,39.0,51.0,37.0,54.0,55.0,
,S,36.0,80.0,,,32.0,20.0,50.0,39.0,,
,S,39.0,,40.0,24.0,,60.0,24.0,57.0,11.0,50.0
C,－,55.0,35.0,38.0,,28.0,25.0,44.0,71.0,35.0,59.0
B,C,,84.0,41.0,,31.0,33.0,46.0,30.0,42.0,34.0
C,A,53.0,76.0,32.0,,57.0,58.0,,39.0,38.0,59.0
A,C,27.0,32.0,47.0,35.0,46.0,38.0,34.0,69.0,21.0,45.0
B,S,28.0,38.0,53.0,49.0,54.0,52.0,,45.0,42.0,79.0
B,B,41.0,46.0,38.0,33.0,37.0,45.0,47.0,44.0,17.0,
C,A,,32.0,27.0,38.0,13.0,,46.0,55.0,52.0,75.0
B,S,81.0,71.0,48.0,46.0,44.0,51.0,49.0,,46.0,44.0
B,B,43.0,51.0,51.0,43.0,55.0,53.0,59.0,47.0,20.0,53.0
A,－,75.0,29.0,66.0,52.0,36.0,50.0,,22.0,33.0,45.0
B,A,41.0,46.0,54.0,53.0,,71.0,73.0,38.0,29.0,52.0
,C,84.0,56.0,53.0,27.0,,49.0,,59.0,49.0,51.0
B,B,42.0,,,,45.0,68.0,67.0,54.0,16.0,79.0
B,D,29.0,,47.0,48.0,46.0,29.0,36.0,55.0,,62.0
,－,27.0,,60.0,43.0,45.0,23.0,,46.0,,29.0
A,－,49.0,71.0,53.0,57.0,36.0,27.0,64.0,13.0,44.0,
,C,59.0,70.0,,,63.0,,65.0,26.0,57.0,
B,S,42.0,,,,,59.0,,15.0,32.0,
B,A,,35.0,47.0,50.0,48.0,,42.0,44.0,24.0,64.0
B,S,35.0,,,46.0,34.0,33.0,68.0,33.0,13.0,50.0
B,S,55.0,52.0,51.0,34.0,,50.0,,64.0,,39.0
B,B,54.0,,45.0,,32.0,22.0,69.0,64.0,21.0,60.0
,B,31.0,,67.0,52.0,46.0,,43.0,32.0,11.0,48.0
A,S,35.0,81.0,53.0,58.0,25.0,40.0,57.0,62.0,28.0,47.0
C,－,48.0,29.0,22.0,47.0,37.0,37.0,74.0,63.0,45.0,53.0
A,D,28.0,91.0,50.0,61.0,11.0,28.0,34.0,33.0,61.0,42.0
,A,27.0,,35.0,56.0,38.0,60.0,60.0,54.0,14.0,48.0
A,D,45.0,56.0,67.0,54.0,38.0,32.0,66.0,15.0,38.0,39.0
B,B,41.0,44.0,43.0,49.0,,,63.0,65.0,48.0,64.0
B,A,57.0,,39.0,,34.0,36.0,74.0,55.0,,67.0
B,S,35.0,,,66.0,38.0,42.0,64.0,37.0,29.0,44.0
,C,,53.0,40.0,50.0,51.0,41.0,53.0,33.0,,36.0
A,S,56.0,61.0,27.0,51.0,29.0,35.0,47.0,70.0,48.0,79.0
A,－,42.0,41.0,57.0,48.0,,33.0,66.0,25.0,47.0,52.0
B,S,54.0,59.0,59.0,42.0,,45.0,,,23.0,
A,A,,,,,44.0,,,73.0,,61.0
C,－,27.0,39.0,47.0,44.0,48.0,,43.0,34.0,,61.0
A,－,49.0,66.0,45.0,59.0,35.0,58.0,53.0,57.0,,44.0
B,S,61.0,45.0,51.0,47.0,61.0,46.0,,39.0,13.0,
A,B,,39.0,57.0,45.0,25.0,,33.0,,42.0,51.0
B,D,27.0,69.0,54.0,35.0,11.0,21.0,,,30.0,48.0
A,－,54.0,26.0,,42.0,54.0,24.0,42.0,39.0,,46.0
B,D,44.0,35.0,48.0,,,24.0,68.0,,51.0,50.0
B,C,,45.0,,39.0,48.0,45.0,68.0,53.0,36.0,
A,S,57.0,50.0,52.0,,34.0,31.0,51.0,,16.0,
B,D,,57.0,,44.0,38.0,,36.0,50.0,50.0,
B,C,57.0,,,,30.0,,,,26.0,53.0
,－,58.0,70.0,,32.0,,65.0,,8.0,,38.0
A,S,68.0,57.0,44.0,,35.0,,,19.0,10.0,63.0
,C,,64.0,23.0,46.0,30.0,27.0,40.0,68.0,66.0,55.0
,A,43.0,54.0,37.0,,45.0,59.0,68.0,34.0,28.0,54.0
,B,,51.0,28.0,31.0,47.0,41.0,74.0,30.0,26.0,56.0
A,－,39.0,51.0,22.0,37.0,41.0,,45.0,60.0,,62.0
B,A,66.0,,,,33.0,19.0,50.0,,17.0,48.0
B,B,37.0,30.0,26.0,28.0,29.0,,64.0,69.0,21.0,52.0
,B,27.0,42.0,41.0,30.0,63.0,58.0,47.0,26.0,,19.0
,S,62.0,52.0,51.0,,,,57.0,54.0,21.0,59.0
B,－,78.0,79.0,46.0,,39.0,24.0,74.0,22.0,70.0,
C,D,40.0,32.0,27.0,52.0,41.0,,,48.0,19.0,34.0
,B,40.0,62.0,43.0,54.0,,19.0,,67.0,,59.0
B,B,74.0,62.0,,40.0,28.0,45.0,52.0,36.0,21.0,
A,A,72.0,57.0,57.0,,36.0,42.0,33.0,,66.0,
B,D,45.0,42.0,58.0,37.0,28.0,22.0,53.0,71.0,33.0,34.0
B,B,76.0,52.0,60.0,57.0,35.0,,44.0,23.0,34.0,79.0
A,D,55.0,42.0,,,,22.0,47.0,43.0,28.0,57.0
B,A,27.0,54.0,30.0,41.0,55.0,,63.0,31.0,24.0,65.0
A,S,,87.0,54.0,29.0,30.0,40.0,52.0,18.0,42.0,55.0
B,B,83.0,40.0,46.0,68.0,11.0,34.0,58.0,,29.0,79.0
A,C,,,43.0,56.0,,51.0,56.0,36.0,50.0,50.0
B,S,83.0,55.0,48.0,48.0,,,32.0,37.0,,47.0
B,B,70.0,,40.0,49.0,64.0,55.0,74.0,34.0,34.0,65.0
,D,42.0,46.0,24.0,42.0,,,68.0,59.0,,40.0
B,B,53.0,51.0,57.0,37.0,56.0,66.0,41.0,31.0,28.0,59.0
B,B,40.0,65.0,,46.0,43.0,,59.0,48.0,10.0,63.0
A,B,39.0,36.0,44.0,71.0,,49.0,,,24.0,
A,B,53.0,,36.0,45.0,,23.0,61.0,30.0,,60.0
B,B,72.0,,44.0,,31.0,20.0,74.0,,41.0,51.0
B,C,37.0,,,33.0,60.0,,32.0,63.0,24.0,
C,A,71.0,,24.0,,31.0,36.0,38.0,55.0,14.0,62.0
,－,42.0,67.0,53.0,42.0,28.0,45.0,67.0,54.0,,47.0
,D,31.0,58.0,,41.0,33.0,33.0,66.0,57.0,43.0,69.0
B,A,41.0,79.0,37.0,43.0,,,,57.0,33.0,57.0
B,S,,58.0,57.0,31.0,28.0,25.0,35.0,45.0,55.0,51.0
B,B,27.0,46.0,49.0,31.0,,14.0,70.0,69.0,15.0,42.0
A,D,,45.0,,44.0,33.0,,26.0,,37.0,54.0
,C,35.0,60.0,43.0,48.0,,18.0,11.0,47.0,28.0,58.0
B,－,39.0,,22.0,51.0,27.0,,59.0,14.0,,
B,D,,96.0,,73.0,31.0,37.0,23.0,,19.0,53.0
B,D,60.0,78.0,48.0,,,,35.0,,61.0,47.0
C,－,59.0,53.0,47.0,,39.0,28.0,52.0,16.0,47.0,43.0
,A,48.0,32.0,47.0,48.0,43.0,43.0,30.0,54.0,,52.0
C,B,41.0,47.0,58.0,49.0,37.0,,50.0,,,
B,－,57.0,51.0,22.0,,26.0,,59.0,63.0,38.0,44.0
B,－,50.0,62.0,35.0,71.0,38.0,55.0,58.0,57.0,23.0,
B,－,43.0,60.0,44.0,44.0,39.0,19.0,39.0,,33.0,53.0
,B,38.0,37.0,42.0,,26.0,37.0,41.0,67.0,37.0,
,B,,,,46.0,32.0,30.0,43.0,68.0,35.0,30.0
A,D,,76.0,22.0,28.0,42.0,46.0,42.0,55.0,41.0,
C,－,52.0,30.0,50.0,28.0,31.0,,12.0,,14.0,29.0
,B,51.0,64.0,44.0,,,,55.0,31.0,29.0,
,D,36.0,96.0,40.0,,31.0,21.0,54.0,,17.0,75.0
A,S,,,48.0,26.0,23.0,14.0,59.0,45.0,42.0,60.0
,－,,78.0,46.0,50.0,11.0,47.0,28.0,56.0,,59.0
,－,46.0,47.0,,79.0,40.0,27.0,56.0,48.0,32.0,50.0
,A,33.0,58.0,56.0,64.0,39.0,42.0,74.0,43.0,30.0,54.0
A,D,,45.0,59.0,,38.0,35.0,50.0,,41.0,62.0
B,A,37.0,80.0,23.0,31.0,,57.0,35.0,7.0,14.0,61.0
B,－,37.0,40.0,,,,,74.0,25.0,,49.0
A,C,54.0,43.0,,,28.0,43.0,44.0,51.0,,53.0
B,C,62.0,71.0,49.0,83.0,30.0,,,,38.0,
C,B,27.0,58.0,39.0,,36.0,,30.0,16.0,13.0,37.0
B,－,46.0,48.0,44.0,43.0,62.0,25.0,,,23.0,61.0
A,C,64.0,55.0,80.0,46.0,,48.0,43.0,54.0,55.0,57.0
,D,,56.0,44.0,25.0,,,51.0,41.0,42.0,51.0
A,S,46.0,36.0,50.0,46.0,38.0,37.0,72.0,56.0,34.0,70.0
,B,54.0,40.0,,45.0,,26.0,46.0,74.0,50.0,42.0
B,S,44.0,66.0,22.0,37.0,,42.0,,59.0,39.0,
A,－,58.0,54.0,49.0,37.0,,35.0,,68.0,,54.0
B,D,40.0,47.0,58.0,42.0,50.0,42.0,74.0,,20.0,58.0
B,S,,31.0,,39.0,26.0,,68.0,35.0,38.0,59.0
,－,76.0,,34.0,51.0,31.0,47.0,57.0,53.0,,52.0
B,D,58.0,34.0,,41.0,48.0,22.0,39.0,45.0,44.0,
B,D,40.0,48.0,,,34.0,48.0,,65.0,32.0,65.0
B,－,58.0,51.0,52.0,44.0,19.0,28.0,56.0,,55.0,62.0
B,S,70.0,61.0,62.0,46.0,36.0,17.0,61.0,66.0,42.0,
B,A,55.0,51.0,61.0,44.0,,51.0,41.0,33.0,39.0,48.0
,C,,,46.0,50.0,36.0,,,62.0,26.0,
,D,27.0,87.0,37.0,42.0,35.0,22.0,,,15.0,75.0
A,B,80.0,,32.0,45.0,36.0,,55.0,59.0,29.0,48.0
B,S,48.0,,22.0,48.0,,48.0,61.0,61.0,27.0,76.0
A,S,,27.0,25.0,,27.0,26.0,,47.0,20.0,59.0
A,S,56.0,47.0,,26.0,69.0,52.0,44.0,,15.0,60.0
B,－,,54.0,42.0,,27.0,27.0,33.0,56.0,23.0,
,C,57.0,56.0,46.0,39.0,25.0,14.0,38.0,,14.0,57.0
B,－,64.0,92.0,51.0,55.0,36.0,,45.0,56.0,48.0,49.0
,A,37.0,,,32.0,,,37.0,64.0,21.0,54.0
B,D,,55.0,54.0,32.0,31.0,32.0,32.0,39.0,,63.0
A,D,,48.0,,46.0,34.0,66.0,41.0,51.0,25.0,44.0
,－,43.0,30.0,41.0,,37.0,42.0,66.0,41.0,39.0,40.0
A,S,39.0,46.0,,31.0,50.0,42.0,44.0,43.0,29.0,56.0
,S,39.0,44.0,54.0,46.0,34.0,,40.0,45.0,10.0,
B,D,,58.0,55.0,32.0,37.0,25.0,18.0,27.0,27.0,45.0
A,A,82.0,67.0,55.0,47.0,32.0,51.0,74.0,,48.0,65.0
C,－,46.0,,45.0,36.0,49.0,19.0,68.0,,14.0,74.0
B,－,57.0,41.0,47.0,53.0,36.0,,58.0,,44.0,61.0
B,A,63.0,56.0,43.0,,59.0,64.0,70.0,49.0,18.0,38.0
B,A,49.0,68.0,51.0,43.0,41.0,63.0,51.0,,15.0,
B,－,42.0,49.0,24.0,,34.0,60.0,62.0,,53.0,78.0
,A,35.0,31.0,,34.0,30.0,49.0,54.0,40.0,21.0,63.0
B,－,46.0,40.0,52.0,,30.0,,55.0,71.0,,
A,－,,74.0,,41.0,,51.0,16.0,45.0,35.0,56.0
B,A,46.0,36.0,25.0,,11.0,,22.0,74.0,18.0,38.0
,D,79.0,,60.0,28.0,28.0,45.0,,37.0,13.0,41.0
,S,59.0,62.0,51.0,49.0,35.0,,33.0,18.0,50.0,59.0
,S,34.0,43.0,,,42.0,42.0,,71.0,16.0,
C,S,43.0,,47.0,49.0,49.0,66.0,74.0,,,58.0
B,C,47.0,,36.0,,27.0,21.0,66.0,,26.0,55.0
,C,35.0,43.0,35.0,,30.0,24.0,59.0,,,41.0
B,D,47.0,59.0,,,24.0,48.0,42.0,23.0,25.0,63.0
B,B,,47.0,,47.0,31.0,36.0,37.0,33.0,45.0,30.0
A,－,47.0,60.0,,47.0,26.0,41.0,72.0,60.0,20.0,55.0
A,S,,53.0,23.0,57.0,,,,20.0,59.0,74.0
,S,46.0,50.0,49.0,42.0,59.0,20.0,,65.0,17.0,
C,A,,45.0,46.0,52.0,46.0,67.0,56.0,,30.0,69.0
,C,27.0,,56.0,44.0,47.0,28.0,,,63.0,53.0
B,C,47.0,32.0,62.0,52.0,21.0,60.0,18.0,65.0,,
A,B,33.0,96.0,75.0,27.0,32.0,17.0,67.0,45.0,52.0,60.0
,－,48.0,61.0,54.0,,50.0,45.0,57.0,,57.0,62.0
B,－,83.0,51.0,56.0,42.0,40.0,41.0,40.0,,,56.0
A,C,61.0,40.0,22.0,47.0,,69.0,74.0,60.0,41.0,65.0
A,S,,,46.0,28.0,34.0,,36.0,21.0,43.0,46.0
,B,52.0,65.0,37.0,,41.0,33.0,44.0,14.0,36.0,
B,D,43.0,,45.0,64.0,67.0,,50.0,58.0,40.0,42.0
B,B,50.0,54.0,75.0,47.0,34.0,,74.0,,38.0,57.0
A,－,,96.0,,37.0,58.0,38.0,43.0,,,46.0
B,B,48.0,52.0,46.0,48.0,36.0,17.0,,74.0,,59.0
A,C,49.0,,,48.0,,,,74.0,54.0,63.0
A,D,45.0,58.0,29.0,44.0,,39.0,58.0,61.0,39.0,53.0
B,C,54.0,,46.0,56.0,,19.0,74.0,57.0,36.0,51.0
,－,45.0,69.0,65.0,54.0,26.0,37.0,71.0,65.0,61.0,64.0
B,S,67.0,43.0,41.0,36.0,40.0,50.0,41.0,47.0,31.0,39.0
B,－,53.0,,,,36.0,15.0,63.0,,11.0,
B,B,47.0,48.0,,44.0,,51.0,,42.0,10.0,51.0
B,B,51.0,55.0,52.0,40.0,52.0,29.0,36.0,34.0,21.0,58.0
B,D,27.0,,23.0,42.0,49.0,60.0,45.0,,,66.0
A,S,,46.0,,57.0,58.0,45.0,69.0,27.0,18.0,52.0
A,S,57.0,,,,,55.0,74.0,64.0,54.0,77.0
B,－,44.0,49.0,,36.0,31.0,46.0,,24.0,33.0,38.0
C,B,65.0,,29.0,,48.0,,49.0,36.0,,
B,－,44.0,,43.0,34.0,51.0,57.0,57.0,31.0,14.0,58.0
B,B,52.0,81.0,31.0,47.0,62.0,,49.0,50.0,45.0,41.0
,B,,55.0,37.0,45.0,27.0,46.0,64.0,72.0,38.0,52.0
B,C,61.0,73.0,28.0,,,,49.0,16.0,,43.0
A,C,71.0,38.0,52.0,50.0,35.0,,33.0,36.0,29.0,42.0
,C,45.0,68.0,56.0,45.0,29.0,39.0,60.0,61.0,,63.0
B,A,74.0,62.0,45.0,72.0,30.0,62.0,54.0,62.0,,79.0
B,S,66.0,73.0,,41.0,40.0,16.0,25.0,64.0,16.0,64.0
A,－,,74.0,,41.0,51.0,40.0,37.0,,29.0,60.0
,C,53.0,59.0,52.0,43.0,,38.0,27.0,34.0,19.0,47.0
A,B,31.0,36.0,39.0,48.0,,45.0,74.0,45.0,,50.0
B,S,49.0,49.0,55.0,62.0,35.0,,33.0,,34.0,40.0
A,－,46.0,80.0,40.0,47.0,52.0,16.0,11.0,37.0,31.0,36.0
B,B,57.0,47.0,22.0,43.0,27.0,,,,30.0,52.0
B,A,27.0,,22.0,41.0,,31.0,52.0,37.0,39.0,63.0
A,A,49.0,28.0,47.0,30.0,54.0,,,32.0,17.0,50.0
,S,59.0,55.0,35.0,27.0,,22.0,65.0,74.0,22.0,37.0
C,A,78.0,30.0,59.0,37.0,37.0,32.0,47.0,39.0,29.0,48.0
A,S,44.0,,25.0,27.0,31.0,41.0,22.0,10.0,36.0,55.0
B,S,45.0,73.0,63.0,48.0,30.0,36.0,54.0,45.0,17.0,47.0
,D,,53.0,53.0,25.0,39.0,50.0,20.0,27.0,13.0,52.0
B,A,28.0,,38.0,44.0,,,74.0,66.0,40.0,
,D,38.0,96.0,44.0,,28.0,26.0,21.0,42.0,21.0,79.0
,D,30.0,39.0,27.0,49.0,28.0,46.0,73.0,,32.0,61.0
,C,29.0,58.0,43.0,40.0,41.0,57.0,48.0,73.0,,
B,S,36.0,,44.0,26.0,45.0,17.0,54.0,61.0,40.0,
C,B,69.0,58.0,37.0,44.0,36.0,32.0,45.0,60.0,22.0,47.0
B,B,76.0,44.0,52.0,,,,58.0,26.0,49.0,33.0
A,D,,,25.0,38.0,27.0,,65.0,27.0,41.0,46.0
B,S,54.0,36.0,58.0,34.0,48.0,23.0,56.0,27.0,36.0,48.0
B,C,83.0,57.0,40.0,51.0,,57.0,26.0,,35.0,57.0
A,C,27.0,54.0,48.0,,39.0,38.0,26.0,,36.0,46.0
B,C,38.0,70.0,37.0,,36.0,22.0,36.0,56.0,,37.0
A,－,46.0,,,48.0,,19.0,28.0,33.0,62.0,52.0
B,A,39.0,30.0,59.0,,14.0,19.0,49.0,68.0,,
,D,,,43.0,44.0,53.0,52.0,50.0,43.0,41.0,53.0
B,D,27.0,42.0,55.0,44.0,46.0,33.0,48.0,,,59.0
A,C,35.0,61.0,33.0,27.0,33.0,69.0,,30.0,24.0,65.0
A,S,,70.0,24.0,48.0,25.0,26.0,58.0,61.0,,54.0
B,A,55.0,,31.0,,,57.0,41.0,62.0,13.0,65.0
B,S,,72.0,39.0,43.0,23.0,28.0,33.0,65.0,,62.0
C,A,33.0,,67.0,40.0,16.0,34.0,62.0,62.0,,57.0
A,S,39.0,58.0,,50.0,71.0,,53.0,61.0,15.0,53.0
B,D,34.0,63.0,57.0,41.0,40.0,41.0,59.0,9.0,17.0,54.0
B,S,75.0,,,54.0,27.0,,70.0,58.0,24.0,56.0
B,C,32.0,88.0,47.0,54.0,46.0,,48.0,,,
A,－,,,60.0,51.0,,16.0,66.0,72.0,49.0,47.0
B,B,,65.0,30.0,52.0,,,36.0,59.0,,
B,－,33.0,,43.0,44.0,36.0,29.0,56.0,30.0,23.0,79.0
B,S,33.0,,50.0,38.0,35.0,66.0,69.0,64.0,33.0,54.0
A,－,,60.0,58.0,,34.0,45.0,56.0,,31.0,27.0
B,D,,79.0,52.0,45.0,,,,53.0,19.0,77.0
,D,33.0,30.0,44.0,69.0,50.0,31.0,63.0,,34.0,
B,－,41.0,52.0,,46.0,23.0,15.0,,58.0,,
B,C,,47.0,44.0,53.0,27.0,,33.0,70.0,23.0,55.0
A,C,64.0,84.0,43.0,32.0,32.0,,28.0,65.0,55.0,57.0
A,D,89.0,43.0,31.0,32.0,38.0,64.0,35.0,39.0,16.0,26.0
,－,50.0,75.0,,44.0,11.0,33.0,51.0,16.0,,39.0
A,B,,,22.0,36.0,39.0,23.0,56.0,57.0,15.0,56.0
B,D,40.0,65.0,54.0,76.0,39.0,49.0,56.0,41.0,16.0,52.0
A,－,49.0,56.0,41.0,,40.0,,66.0,59.0,61.0,59.0
,A,54.0,,,43.0,33.0,26.0,60.0,54.0,,
B,C,54.0,46.0,46.0,39.0,40.0,42.0,,64.0,38.0,31.0
B,D,,,,27.0,46.0,21.0,50.0,69.0,10.0,47.0
B,B,53.0,46.0,73.0,48.0,41.0,52.0,23.0,56.0,22.0,50.0
A,－,44.0,61.0,49.0,47.0,47.0,50.0,36.0,64.0,22.0,63.0
B,－,53.0,,55.0,,31.0,37.0,42.0,21.0,13.0,44.0
,D,35.0,59.0,56.0,55.0,66.0,14.0,58.0,56.0,,28.0
A,D,27.0,50.0,,40.0,11.0,51.0,,,,
,C,37.0,,41.0,50.0,26.0,52.0,70.0,,46.0,42.0
B,－,47.0,48.0,48.0,46.0,52.0,21.0,,60.0,43.0,60.0
,B,79.0,50.0,60.0,32.0,35.0,22.0,21.0,34.0,41.0,56.0
C,S,49.0,33.0,42.0,43.0,21.0,45.0,,60.0,66.0,37.0
B,A,,34.0,31.0,33.0,51.0,55.0,59.0,64.0,16.0,31.0
B,C,83.0,55.0,44.0,36.0,47.0,14.0,63.0,28.0,48.0,32.0
,C,45.0,27.0,22.0,,,45.0,52.0,50.0,24.0,57.0
B,B,50.0,38.0,23.0,54.0,33.0,28.0,66.0,29.0,10.0,
,S,50.0,,,,45.0,53.0,42.0,23.0,32.0,46.0
B,－,60.0,84.0,,38.0,38.0,30.0,58.0,28.0,30.0,43.0
B,B,57.0,34.0,63.0,45.0,39.0,56.0,61.0,49.0,35.0,
B,S,45.0,51.0,60.0,52.0,40.0,,62.0,29.0,42.0,45.0
A,－,71.0,31.0,38.0,,26.0,52.0,,70.0,,51.0
B,－,,56.0,54.0,27.0,25.0,61.0,,44.0,32.0,79.0
B,－,,79.0,34.0,,,44.0,57.0,21.0,40.0,30.0
B,A,42.0,,,47.0,40.0,37.0,62.0,58.0,49.0,55.0
,－,54.0,95.0,71.0,44.0,28.0,22.0,26.0,19.0,,43.0
,A,63.0,,24.0,41.0,48.0,25.0,69.0,37.0,28.0,56.0
C,C,36.0,46.0,53.0,34.0,,17.0,,37.0,26.0,43.0
B,B,,51.0,22.0,26.0,42.0,,48.0,11.0,43.0,50.0
B,A,53.0,,29.0,46.0,36.0,27.0,45.0,29.0,21.0,
A,A,39.0,,22.0,,37.0,27.0,43.0,20.0,,
B,D,32.0,57.0,46.0,50.0,45.0,,62.0,20.0,39.0,
A,C,45.0,83.0,54.0,,21.0,51.0,34.0,53.0,25.0,55.0
B,S,67.0,,26.0,35.0,41.0,28.0,33.0,46.0,17.0,50.0
A,－,78.0,87.0,,,31.0,57.0,60.0,66.0,32.0,
B,A,60.0,34.0,36.0,46.0,28.0,,54.0,45.0,15.0,
,B,57.0,51.0,,50.0,,52.0,34.0,7.0,20.0,
B,B,37.0,,24.0,44.0,57.0,17.0,64.0,40.0,33.0,
B,S,33.0,,41.0,44.0,34.0,26.0,51.0,7.0,27.0,47.0
A,C,,55.0,46.0,51.0,41.0,44.0,64.0,59.0,28.0,76.0
,－,41.0,,57.0,53.0,26.0,50.0,,31.0,41.0,
B,－,63.0,52.0,27.0,48.0,31.0,,31.0,25.0,36.0,55.0
A,S,69.0,90.0,,42.0,41.0,23.0,62.0,54.0,34.0,40.0
C,D,78.0,38.0,48.0,,33.0,48.0,57.0,,50.0,53.0
B,－,,59.0,56.0,51.0,11.0,23.0,71.0,21.0,,54.0
A,－,45.0,33.0,,58.0,47.0,55.0,52.0,46.0,35.0,
B,B,53.0,79.0,43.0,30.0,34.0,59.0,51.0,53.0,,45.0
B,B,56.0,44.0,41.0,41.0,37.0,,37.0,66.0,,53.0
B,S,,53.0,48.0,31.0,38.0,32.0,66.0,74.0,53.0,58.0
,－,38.0,,51.0,36.0,34.0,51.0,50.0,37.0,23.0,61.0
B,C,83.0,,50.0,,40.0,52.0,63.0,65.0,,50.0
A,B,,64.0,47.0,,59.0,29.0,51.0,35.0,29.0,43.0
B,－,59.0,45.0,53.0,42.0,25.0,55.0,33.0,29.0,44.0,53.0
B,C,60.0,,,62.0,40.0,75.0,,74.0,,53.0
C,B,40.0,35.0,51.0,62.0,21.0,,74.0,17.0,33.0,
A,B,40.0,45.0,53.0,51.0,22.0,26.0,40.0,31.0,13.0,51.0
A,－,54.0,48.0,34.0,45.0,39.0,38.0,74.0,23.0,53.0,65.0
,－,50.0,,,39.0,,45.0,56.0,74.0,15.0,46.0
A,D,,58.0,35.0,,28.0,17.0,,65.0,35.0,59.0
,－,56.0,50.0,50.0,48.0,34.0,41.0,61.0,,,61.0
B,－,44.0,60.0,,36.0,,46.0,,50.0,36.0,72.0
